_chgType,ID,ORG_ID,ACCT_SCHEMA_ID,PERIOD_ID,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,OPENING_DEBIT,OPENING_CREDIT,PERIOD_DEBIT,PERIOD_CREDIT,CLOSING_DEBIT,CLOSING_CREDIT,GENERATED_AT,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
U,1,2,1,1,2,1002,银行存款,0.0000,0.0000,1130.0000,960.5000,169.5000,0.0000,2026-07-31 23:59:00.0,*,1,sys,*,autotest-ref,*
A,100011,2,1,1,4,1405,库存商品,0.0000,0.0000,960.5000,0.0000,960.5000,0.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100012,2,1,1,5,2202,应付账款,0.0000,0.0000,960.5000,960.5000,0.0000,0.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100013,2,1,1,2,1002,银行存款,0.0000,0.0000,1130.0000,960.5000,169.5000,0.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100014,2,1,1,3,1122,应收账款,0.0000,0.0000,1130.0000,1780.0000,0.0000,650.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100015,2,1,1,6,5001,主营业务收入,0.0000,0.0000,1130.0000,1130.0000,0.0000,0.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100016,2,1,1,40,1121,应收票据,0.0000,0.0000,500.0000,0.0000,500.0000,0.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100017,2,1,1,38,2241,其他应付款-员工,0.0000,0.0000,300.0000,0.0000,300.0000,0.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100018,2,1,1,39,1221,其他应收款-员工预支,0.0000,0.0000,0.0000,300.0000,0.0000,300.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100019,2,1,1,42,6603,财务费用-利息支出,0.0000,0.0000,150.0000,150.0000,0.0000,0.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100020,2,1,1,34,4103,本年利润,0.0000,0.0000,150.0000,1130.0000,0.0000,980.0000,@var:ErpFinTrialBalance@generatedAt_2,*,1,autotest-ref,*,autotest-ref,*
A,100041,2,1,1,4,1405,库存商品,0,0,960.5000,0.0000,960.5000,0,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100042,2,1,1,5,2202,应付账款,0,0,960.5000,960.5000,0,0,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100043,2,1,1,2,1002,银行存款,0,0,1130.0000,960.5000,169.5000,0,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100044,2,1,1,3,1122,应收账款,0,0,1130.0000,1780.00000,0,650.00000,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100045,2,1,1,6,5001,主营业务收入,0,0,1130.0000,1130.0000,0,0,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100046,2,1,1,40,1121,应收票据,0,0,500.0000,0.0000,500.0000,0,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100047,2,1,1,38,2241,其他应付款-员工,0,0,300.0000,0.0000,300.0000,0,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100048,2,1,1,39,1221,其他应收款-员工预支,0,0,0.0000,300.0000,0,300.0000,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100049,2,1,1,42,6603,财务费用-利息支出,0,0,150.00000,150.00000,0,0,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
A,100050,2,1,1,34,4103,本年利润,0,0,150.00000,1130.0000,0,980.00000,@var:ErpFinTrialBalance@generatedAt_14,0,0,autotest-ref,*,autotest-ref,*
U,2,2,1,1,3,1122,应收账款,0.0000,0.0000,1130.0000,1130.0000,0.0000,0.0000,2026-07-31 23:59:00.0,*,1,sys,*,autotest-ref,*
U,3,2,1,1,6,5001,主营业务收入,0.0000,0.0000,0.0000,1130.0000,0.0000,1130.0000,2026-07-31 23:59:00.0,*,1,sys,*,autotest-ref,*
