_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,100010,100009,1,2,1002,银行存款,DEBIT,600.0000,0,1,1,600.0000,600.0000,1,,Bank reconciliation adjusting entry,,,,,,BANK_RECON_ADJ,,0,0,autotest-ref,*,autotest-ref,*
A,100011,100009,2,23,2240OTHER,未达账项调整-其他应付款,CREDIT,0,600.0000,1,1,600.0000,600.0000,1,,Bank reconciliation adjusting entry,,,,,,BANK_RECON_ADJ,,0,0,autotest-ref,*,autotest-ref,*
A,100014,100013,1,2,1002,银行存款,DEBIT,-600.0000,0,1,1.00000000,-600.0000,-600.0000,1,,Bank reconciliation adjusting entry,,,,,,BANK_RECON_ADJ,,0,0,autotest-ref,*,autotest-ref,*
A,100015,100013,2,23,2240OTHER,未达账项调整-其他应付款,CREDIT,0,-600.0000,1,1.00000000,-600.0000,-600.0000,1,,Bank reconciliation adjusting entry,,,,,,BANK_RECON_ADJ,,0,0,autotest-ref,*,autotest-ref,*
A,100020,100019,1,21,1231,坏账准备,DEBIT,1000.0000,0,1,1.00000000,1000.0000,1000.0000,1,,Bad debt write-off,1,,,,,BAD_DEBT_WRITE_OFF,,0,0,autotest-ref,*,autotest-ref,*
A,100021,100019,2,3,1122,应收账款,CREDIT,0,1000.0000,1,1.00000000,1000.0000,1000.0000,1,,Bad debt write-off,1,,,,,BAD_DEBT_WRITE_OFF,,0,0,autotest-ref,*,autotest-ref,*
A,100025,100024,1,3,1122,应收账款,DEBIT,1000.0000,0,1,1.00000000,1000.0000,1000.0000,1,,Bad debt recovery,1,,,,,BAD_DEBT_RECOVERY,,0,0,autotest-ref,*,autotest-ref,*
A,100026,100024,2,21,1231,坏账准备,CREDIT,0,1000.0000,1,1.00000000,1000.0000,1000.0000,1,,Bad debt recovery,1,,,,,BAD_DEBT_RECOVERY,,0,0,autotest-ref,*,autotest-ref,*
A,100029,100028,1,22,6701,信用减值损失,DEBIT,55.0000000,0,1,1,55.0000000,55.0000000,1,,Period-end bad debt provision,,,,,,BAD_DEBT_RESERVE,,0,0,autotest-ref,*,autotest-ref,*
A,100030,100028,2,21,1231,坏账准备,CREDIT,0,55.0000000,1,1,55.0000000,55.0000000,1,,Period-end bad debt provision,,,,,,BAD_DEBT_RESERVE,,0,0,autotest-ref,*,autotest-ref,*
