_chgType,ID,CODE,VOUCHER_TYPE,POSTING_TYPE,VOUCHER_DATE,VOUCHER_NO,ORG_ID,ACCT_SCHEMA_ID,PERIOD_ID,TOTAL_DEBIT,TOTAL_CREDIT,IS_REVERSED,REVERSAL_OF_VOUCHER_ID,DOC_STATUS,POSTED_BY,POSTED_AT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,102,@var:ErpFinVoucher@code_9,TRANSFER,NORMAL,2027-04-01,,1,1,15,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_9,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,107,@var:ErpFinVoucher@code_10,TRANSFER,NORMAL,2027-05-01,,1,1,16,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_10,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,112,@var:ErpFinVoucher@code_11,TRANSFER,NORMAL,2027-06-01,,1,1,17,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_11,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,57,@var:ErpFinVoucher@code,TRANSFER,NORMAL,2026-07-01,,1,1,6,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,62,@var:ErpFinVoucher@code_1,TRANSFER,NORMAL,2026-08-01,,1,1,7,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_1,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,67,@var:ErpFinVoucher@code_2,TRANSFER,NORMAL,2026-09-01,,1,1,8,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_2,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,72,@var:ErpFinVoucher@code_3,TRANSFER,NORMAL,2026-10-01,,1,1,9,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_3,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,77,@var:ErpFinVoucher@code_4,TRANSFER,NORMAL,2026-11-01,,1,1,10,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_4,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,82,@var:ErpFinVoucher@code_5,TRANSFER,NORMAL,2026-12-01,,1,1,11,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_5,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,87,@var:ErpFinVoucher@code_6,TRANSFER,NORMAL,2027-01-01,,1,1,12,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_6,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,92,@var:ErpFinVoucher@code_7,TRANSFER,NORMAL,2027-02-01,,1,1,13,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_7,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,97,@var:ErpFinVoucher@code_8,TRANSFER,NORMAL,2027-03-01,,1,1,14,1000.0000,1000.0000,false,,POSTED,,@var:ErpFinVoucher@postedAt_8,,@var:ErpFinVoucher@delVersion_1,0,autotest-ref,*,autotest-ref,*
