_chgType,ID,MRP_PLAN_ID,LINE_NO,MATERIAL_ID,UO_M_ID,ORDER_TYPE,GROSS_REQUIREMENT,SCHEDULED_RECEIPT,ON_HAND,NET_REQUIREMENT,PLANNED_QUANTITY,PLANNED_DATE,PARENT_LINE_ID,IS_FIRMED,CONVERTED_BILL_CODE,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,100014,100013,10,100000,1,WORK_ORDER_REQUEST,10.0000,0,0,10.0000,10.0000,2026-07-25,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100015,100013,20,100001,2,PURCHASE_REQUEST,10.0000000000000000,0,4.0000,6.0000000000000000,6.0000000000000000,2026-07-25,100014,false,,0,0,autotest-ref,*,autotest-ref,*
A,100016,100013,30,1,1,PURCHASE_REQUEST,120.0000,0,80.0000,40.0000,40.0000,2026-07-13,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100017,100013,40,2,1,PURCHASE_REQUEST,100.0000,0,0,100.0000,100.0000,2026-07-06,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100018,100013,50,3,2,PURCHASE_REQUEST,1900.0000,0,100.0000,1800.0000,1800.0000,2026-06-20,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100019,100013,60,4,4,PURCHASE_REQUEST,500.0000,0,0,500.0000,500.0000,2026-07-17,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100022,100021,10,100000,1,WORK_ORDER_REQUEST,10.0000,0.0000,0.0000,10.0000,10.0000,2026-07-25,,true,WO-MRP-100022,0,1,autotest-ref,*,autotest-ref,*
A,100023,100021,20,100001,2,PURCHASE_REQUEST,10.0000,0.0000,4.0000,6.0000,6.0000,2026-07-25,,true,PO-MRP-100023,0,1,autotest-ref,*,autotest-ref,*
A,100024,100021,30,1,1,PURCHASE_REQUEST,120.0000,0.0000,80.0000,40.0000,40.0000,2026-07-13,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100025,100021,40,2,1,PURCHASE_REQUEST,100.0000,0.0000,0.0000,100.0000,100.0000,2026-07-06,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100026,100021,50,3,2,PURCHASE_REQUEST,1900.0000,0.0000,100.0000,1800.0000,1800.0000,2026-06-20,,false,,0,0,autotest-ref,*,autotest-ref,*
A,100027,100021,60,4,4,PURCHASE_REQUEST,500.0000,0.0000,0.0000,500.0000,500.0000,2026-07-17,,false,,0,0,autotest-ref,*,autotest-ref,*
