_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL
A,10,9,1,2026-08,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate,,1,0,0
A,11,9,1,2026-09,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_1,,1,0,0
A,12,9,1,2026-10,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_2,,1,0,0
A,13,9,1,2026-11,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_3,,1,0,0
A,14,9,1,2026-12,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_4,,1,0,0
A,15,9,1,2027-01,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_5,,1,0,0
A,16,9,1,2027-02,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_6,,1,0,0
A,17,9,1,2027-03,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_7,,1,0,0
A,18,9,1,2027-04,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_8,,1,0,0
A,19,9,1,2027-05,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_9,,1,0,0
A,20,9,1,2027-06,83.3333,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_10,,1,0,0
A,21,9,1,2027-07,83.3337,0,0,1000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_11,,1,0,0
